subject_numeric,fa_AntFrontal,fa_ARC_L,fa_ARC_R,fa_ATR_L,fa_ATR_R,fa_CGC_L,fa_CGC_R,fa_CST_L,fa_CST_R,fa_IFO_L,fa_IFO_R,fa_ILF_L,fa_ILF_R,fa_Motor,fa_Occipital,fa_Orbital,fa_PostParietal,fa_SLF_L,fa_SLF_R,fa_SupFrontal,fa_SupParietal,fa_Temporal,fa_UNC_L,fa_UNC_R,Unnamed: 0,HCPID,alpha,proc.temp,proc.LL,decay,decl.temp,decl.LL,best.model,diff.LL
580751,0.5089781569985635,0.48754286867032903,0.45904028230901384,0.4274953805564454,0.4202921273427201,0.4962460096237219,0.44034665393883055,0.5651918380845955,0.5471081721217792,0.5389675666036142,0.5491702679362872,0.5055022841376476,0.5126703918315803,0.5722900504408609,0.6459563549013194,0.5041776065169814,0.5722649001872456,0.4712498586937728,0.45592382008961413,0.5426924186270294,0.5619382336915281,0.5619721475390235,0.4158501596364821,0.44692803108995655,330,580751_fnca,0.0100420487288249,1.9999999992726016,-43.68535430797955,0.010007040278592,1.9999999993511008,-44.21093177899564,Procedural,0.5255774710160921
581349,0.5567053592925604,0.5224301912574214,0.49083072244143233,0.4721915496914048,0.46621518496373343,0.56266544528979,0.5293682319786132,0.5682780210738546,0.5762942817347478,0.5445914984239557,0.5448468705847589,0.5135068251186149,0.5005310737337719,0.5656953129874959,0.6543485124255547,0.5038628724168802,0.597902182192373,0.48290780881681544,0.4980688512220397,0.5684055383204365,0.5628969227653258,0.5973660509121494,0.4249725872498715,0.41146585219891685,847,581349_fnca,1.129279115655957,1.9999950913586504,-42.614520562526,1.362255271791582,1.9999994270446095,-42.39844465576484,Declarative,-0.2160759067611621
581450,0.5611815481837676,0.5142119870177019,0.44372965361846295,0.4189225639431848,0.4422646221403126,0.5530733132443114,0.5045542828298379,0.5419823848032302,0.5373730680765418,0.5127594452803493,0.5517114879778368,0.4804527289279018,0.5108262363209661,0.5322255857436096,0.6371759693281467,0.5508785610153313,0.5471592054488766,0.530030404603595,0.46416679497311436,0.5345565234710893,0.5362378148112447,0.5528050731565588,0.45922902978326535,0.45804215474146076,974,581450_fnca,0.7027240826775919,0.3153487203664347,-26.237055693196034,0.2106139060215379,0.5973292846187138,-37.71489035350606,Procedural,11.477834660310023
583858,0.563632178300969,0.5230360023343877,0.48356300781990214,0.4796894867176404,0.4587509687739184,0.5549864668464232,0.4887763311008135,0.5581622238365961,0.5743920928693806,0.5573385273731161,0.5447896786141644,0.517749199078409,0.5187979592762934,0.5669987094993804,0.6618245059222244,0.5435239045204093,0.6018031670924155,0.5034368977024113,0.5267700476388868,0.5651463845288699,0.5698307180000554,0.5944606103832207,0.4534787235997868,0.4339952075571111,80,583858_fnca,0.183586313252967,1.0220145305980726,-44.152475964551165,0.0919183903901308,1.6182158532518618,-44.21778804187208,Procedural,0.0653120773209181
585256,0.5774232990449081,0.5481649316564324,0.5139812543571455,0.48674462793752177,0.46554899133252936,0.5943161381052923,0.5378941553708259,0.6047007779887515,0.5913299492580972,0.5623262288412331,0.5543786067427882,0.5342540196070265,0.5174764273376834,0.5974067532963285,0.668677063376322,0.5629254816567952,0.6154428133677738,0.5402920227087722,0.5405743259503686,0.5883561556590544,0.6147814463917688,0.6368331336503621,0.46177614639792663,0.44856575112339586,214,585256_fnca,0.0173768644505937,0.5365904434950198,-42.94104187713802,0.4247690603147495,1.9999953571015137,-42.44629447770702,Declarative,-0.4947473994309987
585862,0.5723846698423467,0.5435621708158006,0.487181821044564,0.4891000405233564,0.45160176426930954,0.5590572175517963,0.5086665221890283,0.5740692746898708,0.5707496395146504,0.5610699678089294,0.5271127708285795,0.541910476852724,0.5210960244043065,0.587088768782295,0.6842083646027665,0.5798673588840765,0.613633220718146,0.5084053294255881,0.49887436684880254,0.5764072434607515,0.604805633782563,0.5848142269063243,0.42759145340842714,0.4498902217714042,692,585862_fnca,0.0100558299797032,1.9999999991973931,-44.38617373878551,0.0100046726510418,1.9999999988573565,-44.85691116560459,Procedural,0.4707374268190847
586460,0.5544741342106935,0.5192451968627524,0.46476433606981454,0.4789677457407152,0.4502621599485658,0.5339312057985565,0.48447120752081024,0.5783404976261766,0.5687272605340999,0.5672630257925854,0.5261316706363863,0.5399720996462666,0.5070058008253436,0.569980929060845,0.6563489187322602,0.5180578115762634,0.595252078509551,0.4783294945983186,0.488613197368332,0.5619369513934374,0.5731259092714426,0.5872254225181711,0.4472749722502737,0.4421748646995941,163,586460_fnca,0.6159313321813632,1.991143118866249,-43.56018131942861,0.0159508207935856,1.6861546859139371,-44.14953708286925,Procedural,0.5893557634406363
587664,0.5539142280651316,0.49744578019170094,0.4749829891729853,0.47869193866832416,0.4403552781440392,0.507843388802708,0.49323881171579503,0.5475094518438708,0.5415446020316611,0.5641142627345177,0.5220965061825198,0.5063972391108787,0.5135196888991852,0.5529188008158542,0.6359229944660544,0.5462926741795155,0.5824856011085453,0.47318966093875725,0.5064349984428224,0.5491220227274396,0.5652442618284287,0.564529788180514,0.4055807940218218,0.4255814197763218,712,587664_fnca,1.425481089134568,1.9999597149436656,-41.85648862748731,0.0100018297460507,1.9999999982622567,-44.01529716027098,Procedural,2.1588085327836666
588565,0.5331907415849566,0.5088750889940311,0.4623169884658573,0.45487011178908304,0.43705769184796656,0.508260366636075,0.4625654671786308,0.5325673299052727,0.5388493785266594,0.5372990229085657,0.5093055977840596,0.5037843328168854,0.4698043369086753,0.5348585593029554,0.6255033227940751,0.5272556979430407,0.556401549689169,0.4583056784154314,0.4930893081529563,0.5349364216703517,0.5447428802779889,0.5558017970599,0.4186692566567269,0.4272516571738663,636,588565_fnca,0.0100470771706758,1.9999999984056775,-41.629343440349245,0.0100220584593449,1.9999999999247593,-42.22029509982367,Procedural,0.5909516594744275
589567,0.5609785596922688,0.5209019284825881,0.4909513829567884,0.45074236779061655,0.4382913062532311,0.5302914541171447,0.46887495062452667,0.551637441615156,0.5700372906927762,0.5287795352315922,0.5305733249210042,0.5173271805259176,0.5316684083640223,0.5585540300848852,0.656436705905309,0.532059888073034,0.5786982449534112,0.5101908613594205,0.4918173702051606,0.5519496709038871,0.5486185887893845,0.5558986312113504,0.4106386405332263,0.46773187827751533,363,589567_fnca,0.0100000000028816,0.098887145084845,-44.21461449812887,0.1215723405748586,1.9999999996989692,-44.43407323372632,Procedural,0.2194587355974491
