,orig.model,orig.alpha,orig.proc.temp,orig.decay,orig.decl.temp,HCPID,alpha,proc.temp,proc.LL,decay,decl.temp,decl.LL,best.model,diff.LL
36585,Declarative,,,0.3586539106673665,1.7821812000085535,654552_fnca,0.69961169288319,1.426927947921035,-42.59814744357064,1.9999343671794623,4.695191281894912,-41.58846208713295,Declarative,-1.0096853564376858
36586,Declarative,,,0.27862678002394053,0.4014044170747155,654552_fnca,0.14411772280909307,0.2353359921828179,-38.190683300223704,0.08982592595832446,0.2595771077096282,-36.98745112382359,Declarative,-1.203232176400114
36587,Declarative,,,0.48789214559022925,1.2375000255849666,654552_fnca,0.754997737839486,1.1755174653685805,-41.00590311461757,0.02749815459396529,0.9766967168688797,-43.04304593528285,Procedural,2.037142820665281
36588,Declarative,,,1.6455119185724523,1.1529510045830917,654552_fnca,1.2609467848077591,0.8153861619163101,-32.59384503968054,1.9999999998443372,1.3156669272094101,-30.922490338636166,Declarative,-1.671354701044372
36589,Declarative,,,1.7167575754690456,1.2584336192392562,654552_fnca,0.5318426312152459,0.525290784888613,-35.57716519500548,0.42781139283336017,2.223329633916539,-42.444204361407934,Procedural,6.867039166402456
36590,Declarative,,,1.4215050337907036,1.8602767004315965,654552_fnca,0.18793753921310838,0.29584044448326274,-31.784236993895032,0.704107014056333,0.7145331770351245,-32.13519621046682,Procedural,0.3509592165717912
36591,Declarative,,,1.9902451083628974,0.5259464169203434,654552_fnca,0.9189617229879941,0.34118229169532394,-25.540514124472335,1.1385019633871,0.28420450389825536,-14.609818788577694,Declarative,-10.93069533589464
36592,Declarative,,,0.4142422780112498,0.14881945493543736,654552_fnca,0.23248937771989484,0.19537247312438458,-32.81486759956455,0.10796736436732578,0.178342729421518,-29.576494992458656,Declarative,-3.2383726071058945
36593,Declarative,,,0.8933268686058361,1.0980066516814622,654552_fnca,0.5017962069689402,0.7517218350330955,-40.741720544704776,0.2976301712034349,2.4480519813910075,-43.72042385203266,Procedural,2.9787033073278835
36594,Declarative,,,1.2770518016892312,1.4241920637485654,654552_fnca,0.06739680481388723,0.32974583748728253,-40.52222696592702,0.7387400375626583,1.107170088370706,-40.674346468179465,Procedural,0.15211950225244664
